id_entrance;name_ru;name_en;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator
70000;проспект Космонавтов, север;prospekt Kosmonavtov, north;1;both;56.9025815558;60.6134266909;720;54;0;0;0;300;850;18;0
70010;ул. Ильича, север;Ilycha str., north;1;both;56.9011694173;60.6136491723;720;72;0;0;0;300;850;18;0
70020;ул. Ильича, юг;Ilycha str., south;1;both;56.9001991514;60.6137882231;720;78;0;0;0;300;850;18;0
70030;ул. Старых Большевиков, север;Starykh Bolshevikov str., north;1;both;56.9011601473;60.6143907768;720;69;0;0;0;300;850;23;0
70040;ул. Старых Большевиков, юг;Starykh Bolshevikov str., south;1;both;56.9004154528;60.6144680272;720;71;0;0;0;300;850;23;0
70050;проспект Космонавтов, север;prospekt Kosmonavtov, north;2;both;56.8896091709;60.6132519397;720;64;0;0;0;300;850;18;0
70060;ул. Машиностроителей, север;Mashinostroiteley str., north;2;both;56.8877582497;60.6128965875;550;27;1;0;0;300;850;22;1
70070;ул. Баумана, север;Baumana str., north;2;both;56.8877489796;60.6141851253;550;36;0;0;0;300;850;23;1
70080;ул. Баумана, север;Baumana str., north;2;both;56.8876748192;60.6141789453;550;36;0;0;0;300;850;23;1
70090;ул. Машиностроителей, юг;Mashinostroiteley str., south;2;both;56.886976475;60.6130727186;550;39;1;0;0;300;850;23;1
70100;Парк;Park;3;both;56.8785905361;60.6121080187;550;41;1;0;0;300;850;18;1
70110;ул. Фронтовых Бригад;Frontovykh Brigad str.;3;both;56.878253724;60.6121203788;550;37;0;0;0;300;850;18;1
70120;ул. Турбинная;Turbinnaya str.;3;both;56.8758885116;60.6121866806;550;85;46;0;0;300;850;18;0
70130;ул. Вокзальная;Vokzalnaya str.;4;both;56.8580304624;60.6008892881;720;41;1;0;0;300;850;18;1
70140;ул. Стрелочников;Strelochnikov str.;4;both;56.8576071299;60.6000673431;720;42;1;0;0;300;850;18;1
70150;"стадион ""Динамо""";"stadium ""Dinamo"" ";5;both;56.8478064594;60.5995133917;550;46;1;0;0;300;850;18;1
70160;Театральный переулок;Teatralny pereulok;6;both;56.8359289133;60.5986336273;720;46;1;0;0;300;850;18;1
70170;ул. 8 Марта;8th of March str.;6;both;56.8362502753;60.5997089538;720;47;2;0;0;300;850;18;1
70180;ул. 8 Марта, север;8th of March str., north;7;both;56.8272376781;60.6021535066;550;41;1;0;0;300;850;22;1
70190;ул. Куйбышева, Университетский пер.;Kuybysheva str., Universitetskiy pereulok;7;both;56.8268359756;60.6020824361;550;46;1;0;0;300;850;22;1
70200;УрГЭУ;UrGAU;7;both;56.826403373;60.6030279818;550;39;1;0;0;300;850;22;1
70210;ул. Куйбышева, Дендропарк;Kuybysheva str., Dendropark;7;both;56.8268143455;60.6035872752;550;49;1;0;0;300;850;22;1
70220;ул. 8 Марта, ул. Народной воли;8th of March str., Narodnoy voli str.;7;both;56.8264497233;60.6037386861;550;49;1;0;0;300;850;22;1
70230;ул. 8 Марта, четная сторона;8th of March str., even side;8;both;56.8086703374;60.6096857153;950;36;0;1;22;0;950;5;1
70240;ул. Щорса, запад;Schorssa str., west;8;both;56.8084262259;60.6095034042;950;44;0;1;44;0;0;0;1
70250;ул. 8 Марта, юг;8th of March str., south;8;both;56.8082933551;60.6097444257;950;39;0;1;39;0;0;0;1
70260;Южный автовокзал;Southern bus station;8;both;56.808271725;60.610288269;720;11;0;0;0;300;850;23;1
70270;ул. Щорса, восток;Schorssa str., east;8;both;56.8084756662;60.6103716995;720;31;0;0;0;300;850;23;1
70280;ул. Щорса, Центральный банк РФ;Schorssa str., Central bank;8;both;56.8087290477;60.6102573688;720;25;0;1;25;0;950;5;1
70290;ул. 8 Марта, Центральный банк РФ;8th of March str., Central bank;8;both;56.808775398;60.610121408;950;21;0;1;21;0;950;5;1
70300;"выход 1, ТЦ ""Дирижабль""";"exit 1, ""Dirizhabl"" Mall";9;both;56.7973524957;60.6294643686;950;69;5;2;65;0;950;0;0
70310;выход 2, ул. Ак. Шварца;exit 2, Ac. Shvartsa str.;9;both;56.7974513763;60.6332156512;950;64;1;2;64;0;950;0;0
70320;выход 3, ул. Фучика, ул. Белинского;exit 3, Belinskogo str., Fuchika str.;9;both;56.7976800376;60.6337533145;720;74;1;1;29;300;850;23;0
70330;"выход 4, ул. Белинского, остановка ""Шварца""";"exit 4, Belinskogo str., transport stop ""Shvartsa""";9;both;56.797748018;60.6345690794;720;75;2;1;29;300;850;23;0
70340;"выход 5, ул. Белинского, остановка ""Шварца""";"exit 5, Belinskogo str., transport stop ""Shvartsa""";9;both;56.7976923977;60.6347390304;720;81;7;1;29;300;850;23;0
70350;выход 6, ул. Белинского, Аквапарк;exit 6, Belinskogo str., Aquapark;9;both;56.7972814252;60.6350233122;950;48;1;2;29;0;950;5;0
70360;выход 7, ул. Крестинского, ул. Ак. Шварца;exit 7, Krestinskogo str., Ac. Shvartsa str.;9;both;56.7966881416;60.6324400565;950;77;0;2;69;0;950;5;0
70370;выход 8, Тбилисский бульвар, ул. Ак. Шварца;exit 8, Tbilissky blvd, Ac. Shvartsa str.;9;both;56.7968241025;60.6314790607;950;70;0;2;62;0;950;5;0
